mode: set
qmanager-backend/pkg/at/client.go:23.43,24.22 1 1
qmanager-backend/pkg/at/client.go:24.22,26.3 1 0
qmanager-backend/pkg/at/client.go:27.2,31.3 1 1
qmanager-backend/pkg/at/client.go:35.51,41.52 4 1
qmanager-backend/pkg/at/client.go:41.52,43.3 1 1
qmanager-backend/pkg/at/client.go:46.2,46.29 1 1
qmanager-backend/pkg/at/client.go:46.29,48.3 1 0
qmanager-backend/pkg/at/client.go:51.2,51.24 1 1
qmanager-backend/pkg/at/client.go:54.58,56.49 1 0
qmanager-backend/pkg/at/client.go:56.49,58.17 2 0
qmanager-backend/pkg/at/client.go:58.17,60.4 1 0
qmanager-backend/pkg/at/client.go:61.3,61.45 1 0
qmanager-backend/pkg/at/client.go:65.2,66.16 2 0
qmanager-backend/pkg/at/client.go:66.16,68.3 1 0
qmanager-backend/pkg/at/client.go:70.2,71.16 2 0
qmanager-backend/pkg/at/client.go:71.16,73.3 1 0
qmanager-backend/pkg/at/client.go:74.2,76.55 2 0
qmanager-backend/pkg/at/client.go:76.55,78.3 1 0
qmanager-backend/pkg/at/client.go:80.2,84.34 4 0
qmanager-backend/pkg/at/client.go:84.34,87.12 3 0
qmanager-backend/pkg/at/client.go:87.12,90.83 3 0
qmanager-backend/pkg/at/client.go:90.83,91.10 1 0
qmanager-backend/pkg/at/client.go:94.3,94.39 1 0
qmanager-backend/pkg/at/client.go:94.39,95.9 1 0
qmanager-backend/pkg/at/client.go:99.2,99.50 1 0
qmanager-backend/pkg/at/client.go:102.55,105.9 2 1
qmanager-backend/pkg/at/client.go:106.41,107.80 1 1
qmanager-backend/pkg/at/client.go:108.61,109.129 1 0
qmanager-backend/pkg/at/client.go:110.10,111.19 1 0
qmanager-backend/pkg/at/mock.go:23.34,40.2 10 1
qmanager-backend/pkg/at/mock.go:43.68,47.2 3 1
qmanager-backend/pkg/at/mock.go:50.95,54.2 3 1
qmanager-backend/pkg/at/mock.go:57.55,68.45 7 1
qmanager-backend/pkg/at/mock.go:68.45,69.42 1 1
qmanager-backend/pkg/at/mock.go:69.42,71.4 1 1
qmanager-backend/pkg/at/mock.go:75.2,75.43 1 1
qmanager-backend/pkg/at/mock.go:75.43,77.3 1 1
qmanager-backend/pkg/at/mock.go:79.2,79.47 1 1
qmanager-backend/pkg/at/mock.go:79.47,80.49 1 1
qmanager-backend/pkg/at/mock.go:80.49,82.4 1 0
qmanager-backend/pkg/at/mock.go:86.2,86.40 1 1
qmanager-backend/pkg/at/mock.go:86.40,88.3 1 1
qmanager-backend/pkg/at/mock.go:90.2,90.18 1 0
qmanager-backend/pkg/at/mock.go:94.44,100.2 5 1
qmanager-backend/pkg/at/mock.go:103.37,107.2 3 1
qmanager-backend/pkg/daemon/poller.go:19.70,20.19 1 1
qmanager-backend/pkg/daemon/poller.go:20.19,22.3 1 0
qmanager-backend/pkg/daemon/poller.go:23.2,26.3 1 1
qmanager-backend/pkg/daemon/poller.go:30.26,31.12 1 1
qmanager-backend/pkg/daemon/poller.go:31.12,35.22 3 1
qmanager-backend/pkg/daemon/poller.go:35.22,37.4 1 1
qmanager-backend/pkg/daemon/poller.go:41.29,58.16 4 1
qmanager-backend/pkg/daemon/poller.go:58.16,60.3 1 0
qmanager-backend/pkg/daemon/poller.go:62.2,63.43 2 1
qmanager-backend/pkg/daemon/poller.go:63.43,65.3 1 0
qmanager-backend/pkg/daemon/poller.go:67.2,70.58 3 1
qmanager-backend/pkg/daemon/poller.go:70.58,72.3 1 1
qmanager-backend/pkg/daemon/poller.go:72.8,74.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:21.86,22.19 1 1
